"year","slope","intercept","mean_res","sd_res","kurtosis_res"
2008,0.608628766797877,22.5440250087873,1.65497414287118e-16,1.91087825156931,2.52981022731652
2009,0.828655802310382,3.45600750886991,1.73840890628644e-16,1.99858314125659,2.53515884365744
2010,1.04696254214503,-6.38188397957159,1.8378087301544e-17,1.80138476434564,2.44052607348216
2011,0.540483129835149,13.6615139656457,-7.42282668311822e-16,9.01858296585099,1.55488594167813
2012,0.685757246361908,-4.27105156205959,3.35157868720198e-16,2.25464722325425,3.11264568897718
2013,0.801914082368237,-13.0616021889361,3.74904100819418e-17,1.26327841951198,2.13958450869808
2014,0.624260589613708,1.55565601611729,1.56937403989362e-16,1.56479669305301,3.55857671994738
2015,0.620079939779199,0.538311719621496,-9.47656374118017e-16,2.64497100297215,1.63249009677042
2016,0.560543971919023,5.52791653581351,3.87225817575899e-17,2.01044318025821,2.72131498170443
2017,0.500137892846492,8.19740913923176,8.77403515252615e-17,1.53184370306399,1.87976816579136
