date,open,high,low,close
1/4/2010,59.299999,59.450001,59.080002,59.150002
1/5/2010,59.650002,59.900002,59.310001,59.57
1/6/2010,59.52,59.919998,59.34,59.880001
1/7/2010,59.919998,60,59.689999,59.860001
1/8/2010,59.790001,60.060001,59.669998,60
1/11/2010,61.540001,61.970001,61.450001,61.889999
1/12/2010,60.860001,61.689999,60.799999,61.5
1/13/2010,61.310001,61.98,61,61.799999
1/14/2010,61.220001,61.75,61.16,61.73
1/15/2010,61.619999,61.720001,61.290001,61.639999
1/19/2010,61.759998,62.380001,61.759998,62.32
1/20/2010,61.349998,61.439999,60.599998,61.060001
1/21/2010,60.950001,61.110001,59.130001,59.57
1/22/2010,58.77,59.099998,57.759998,57.869999
1/25/2010,58.549999,58.790001,58.209999,58.549999
1/26/2010,57.950001,58.919998,57.810001,58.490002
1/27/2010,57.889999,58.18,57.439999,58.060001
1/28/2010,58.400002,58.48,56.959999,57.330002
1/29/2010,57.080002,57.380001,55.869999,56.119999
2/1/2010,56.470001,57.259998,56.470001,57.23
2/2/2010,54.400002,55.709999,54.139999,55.459999
2/3/2010,55.349998,55.529999,54.849998,55.169998
2/4/2010,54.759998,54.779999,53.439999,53.48
2/5/2010,53.110001,53.310001,52.099998,53.18
2/8/2010,52.639999,53.240002,52.130001,52.43
2/9/2010,52.919998,54.099998,52.73,53.610001
2/10/2010,53.720001,53.919998,53.110001,53.650002
2/11/2010,53.889999,54.860001,53.59,54.799999
2/12/2010,54.139999,54.799999,53.919998,54.669998
2/16/2010,54.860001,56.139999,54.650002,55.950001
2/17/2010,54.639999,54.799999,54.02,54.240002
2/18/2010,54.18,54.900002,54.18,54.740002
2/19/2010,53.689999,54.389999,53.57,54.299999
2/22/2010,54.57,54.619999,54.09,54.25
2/23/2010,53.549999,53.77,53.110001,53.220001
2/24/2010,53.509998,53.889999,53.259998,53.580002
2/25/2010,52.380001,52.900002,52,52.889999
2/26/2010,52.650002,53.34,52.5,53.209999
3/1/2010,53.360001,54.040001,53.259998,53.98
3/2/2010,53.720001,54.240002,53.580002,54
3/3/2010,54.279999,55.130001,54.27,54.860001
3/4/2010,55.34,55.470001,54.799999,55.09
3/5/2010,55.400002,55.84,55.290001,55.779999
3/8/2010,55.98,56.380001,55.849998,56.169998
3/9/2010,55.580002,56.240002,55.57,56.040001
3/10/2010,55.98,56.400002,55.91,56.189999
3/11/2010,56.16,56.650002,56.029999,56.599998
3/12/2010,56.689999,56.98,56.52,56.860001
3/15/2010,56.57,56.619999,56.07,56.580002
3/16/2010,56.689999,57.240002,56.580002,57.18
3/17/2010,57.970001,58.43,57.860001,58.150002
3/18/2010,58.470001,58.490002,57.720001,58.150002
3/19/2010,57.689999,58.240002,57.130001,57.689999
3/22/2010,56.630001,57.450001,56.560001,57.349998
3/23/2010,57.540001,58.02,57.389999,57.950001
3/24/2010,57.110001,57.34,56.919998,57.23
3/25/2010,57.259998,57.349998,56.509998,56.529999
3/26/2010,56.490002,56.900002,56.330002,56.689999
3/29/2010,56.41,56.970001,56.400002,56.889999
3/30/2010,56.939999,57.119999,56.669998,56.830002
3/31/2010,56.689999,57.279999,56.610001,57.07
4/1/2010,57.450001,58.07,57.43,57.740002
4/5/2010,58.27,58.669998,58,58.509998
4/6/2010,58.529999,59.419998,58.41,59.360001
4/7/2010,58.98,59.16,58.59,58.779999
4/8/2010,58.259998,59.040001,58.080002,58.970001
4/9/2010,59.119999,59.5,59.029999,59.459999
4/12/2010,59.27,59.619999,59.209999,59.34
4/13/2010,59.549999,59.599998,58.709999,59.290001
4/14/2010,59.990002,60.099998,59.669998,60
4/15/2010,60.560001,60.98,60.48,60.57
4/16/2010,60.41,60.5,59.330002,59.880001
4/19/2010,58.860001,59.52,58.810001,59.48
4/20/2010,60.450001,60.700001,60.290001,60.48
4/21/2010,60.189999,60.57,59.84,60.09
4/22/2010,59.139999,59.549999,58.860001,59.549999
4/23/2010,58.849998,59.91,58.75,59.880001
4/26/2010,59.77,59.869999,57.900002,57.91
4/27/2010,56.77,57.720001,56.209999,56.330002
4/28/2010,57.209999,57.689999,56.639999,57.34
4/29/2010,56.389999,56.490002,51.880001,52.560001
4/30/2010,52.43,53.380001,51.360001,52.150002
5/3/2010,49.360001,51.290001,47.349998,50.189999
5/4/2010,50.509998,51.32,48.439999,51.200001
5/5/2010,51,52,50.07,50.990002
5/6/2010,51.380001,51.689999,48.009998,50.330002
5/7/2010,49.75,50.32,48,49.060001
5/10/2010,49.119999,49.889999,48.16,48.75
5/11/2010,48.119999,49.509998,48.049999,48.740002
5/12/2010,48.759998,49.049999,47.860001,48.5
5/13/2010,48.18,49,47.93,48.099998
5/14/2010,47.169998,47.240002,46,46.869999
5/17/2010,47.200001,47.560001,45.41,46.57
5/18/2010,46.77,46.779999,45.27,45.380001
5/19/2010,45.82,46.119999,45,45.27
5/20/2010,45.169998,45.700001,43.959999,44.580002
5/21/2010,43.75,44.459999,43.310001,43.860001
5/24/2010,42.490002,43.040001,41.860001,41.860001
5/25/2010,40.610001,42.599998,40.610001,42.560001
5/26/2010,42.349998,43.27,42.119999,42.41
5/27/2010,45.200001,45.57,44.349998,45.380001
5/28/2010,43.639999,43.84,42.470001,42.950001
6/1/2010,37.34,38.529999,36.200001,36.52
6/2/2010,37.27,38.169998,36.470001,37.66
6/3/2010,38.919998,39.41,37.119999,39.27
6/4/2010,38.5,38.990002,37.060001,37.16
6/7/2010,38.130001,38.150002,36.650002,36.759998
6/8/2010,35.830002,36.119999,34.150002,34.68
6/9/2010,33.959999,34.450001,29,29.200001
6/10/2010,32.16,33.040001,30.889999,32.779999
6/11/2010,34.049999,34.459999,33.25,33.970001
6/14/2010,32.389999,32.599998,30.559999,30.67
6/15/2010,30.58,32.130001,29.85,31.4
6/16/2010,29.9,33,29.58,31.85
6/17/2010,32.200001,32.459999,31.25,31.709999
6/18/2010,32.529999,32.529999,31.41,31.76
6/21/2010,30.639999,31.18,30.110001,30.33
6/22/2010,29.58,30.77,29.370001,29.68
6/23/2010,30.16,30.290001,29.51,29.67
6/24/2010,30,30,28.559999,28.74
6/25/2010,27.77,28.08,26.83,27.02
6/28/2010,27.65,28.030001,26.75,27.049999
6/29/2010,27.32,28.15,26.950001,27.67
6/30/2010,28.73,29.15,28.15,28.879999
7/1/2010,29.860001,30.42,28.790001,29.389999
7/2/2010,29.879999,29.91,28.99,29.35
7/6/2010,31.030001,31.91,30.74,31.91
7/7/2010,32.73,33.220001,32.189999,33.189999
7/8/2010,33.790001,33.900002,32.950001,33.740002
7/9/2010,33.279999,34.169998,32.119999,34.049999
7/12/2010,35.639999,37,35.419998,36.759998
7/13/2010,37.720001,37.759998,35.709999,36.880001
7/14/2010,36.23,36.849998,35.700001,36.18
7/15/2010,36.68,39.810001,36.52,38.919998
7/16/2010,38.52,38.540001,37.07,37.099998
7/19/2010,36,36.080002,34.580002,35.75
7/20/2010,34.900002,35.98,34.790001,35.200001
7/21/2010,36.610001,36.650002,35.669998,36.130001
7/22/2010,36.470001,36.709999,36.029999,36.23
7/23/2010,36.619999,36.880001,36.169998,36.860001
7/26/2010,37.93,39,37.740002,38.650002
7/27/2010,38.549999,38.560001,37.330002,38
7/28/2010,37.34,38.099998,37.32,37.709999
7/29/2010,38.150002,38.900002,38.099998,38.470001
7/30/2010,38.09,38.630001,38.029999,38.470001
8/2/2010,39,39.549999,38.950001,39.419998
8/3/2010,39.380001,40,39.110001,40
8/4/2010,39.77,40.639999,39.200001,39.389999
8/5/2010,40.23,40.75,39.939999,40.68
8/6/2010,41.07,41.5,40.599998,41.330002
8/9/2010,41.560001,41.59,40.849998,40.860001
8/10/2010,40.060001,40.25,39.380001,40.110001
8/11/2010,38.970001,39,38.59,38.790001
8/12/2010,37.689999,38.450001,37.490002,38.380001
8/13/2010,37.779999,39.57,37.75,38.93
8/16/2010,38.419998,38.849998,38.150002,38.400002
8/17/2010,38.169998,38.41,37.709999,38.049999
8/18/2010,37.77,37.810001,37.040001,37.299999
8/19/2010,36.990002,37.130001,36.18,36.240002
8/20/2010,35.869999,36.43,35.529999,36.400002
8/23/2010,36.419998,36.91,36.110001,36.119999
8/24/2010,34.950001,35.25,34.5,34.919998
8/25/2010,34.360001,35.310001,34.16,35.25
8/26/2010,35.790001,36.200001,35.27,35.419998
8/27/2010,35.400002,35.82,34.709999,35.560001
8/30/2010,35.639999,36.119999,35.23,35.259998
8/31/2010,34.68,35.130001,34.5,34.830002
9/1/2010,35.889999,36.290001,35.669998,36.16
9/2/2010,36.02,36.57,36.009998,36.57
9/3/2010,36.709999,37.43,36.709999,37.43
9/7/2010,37.709999,37.75,37.130001,37.189999
9/8/2010,38.290001,38.580002,38.220001,38.369999
9/9/2010,38.639999,38.669998,37.759998,38.02
9/10/2010,37.939999,38.299999,37.810001,38.220001
9/13/2010,38.349998,38.560001,38.130001,38.349998
9/14/2010,38.490002,38.849998,38.459999,38.52
9/15/2010,38.080002,38.25,37.77,38.18
9/16/2010,38.490002,38.529999,38.119999,38.27
9/17/2010,38.16,38.259998,37.490002,38.029999
9/20/2010,38.360001,38.779999,38.099998,38.68
9/21/2010,38.779999,38.990002,38.349998,38.59
9/22/2010,38.330002,38.650002,38.07,38.09
9/23/2010,37.970001,38.349998,37.84,38.130001
9/24/2010,38.25,38.540001,38.209999,38.459999
9/27/2010,38.389999,38.849998,38.240002,38.709999
9/28/2010,38.23,39.799999,37.860001,39.290001
9/29/2010,39.84,40.299999,39.68,40
9/30/2010,40.970001,41.299999,40.349998,41.169998
10/1/2010,41.939999,42,41.73,41.950001
10/4/2010,41.459999,41.57,40.73,40.82
10/5/2010,41.150002,41.52,40.919998,41.330002
10/6/2010,41.650002,41.77,41.27,41.610001
10/7/2010,41.77,42.080002,41.330002,41.52
10/8/2010,41.5,41.98,41.400002,41.919998
10/11/2010,41.32,41.52,41.169998,41.240002
10/12/2010,40.740002,41.529999,40.549999,41.259998
10/13/2010,41.400002,41.75,41.25,41.41
10/14/2010,41.150002,41.369999,40.959999,41.02
10/15/2010,40.919998,41.110001,40.400002,40.619999
10/18/2010,40.66,41.740002,40.439999,41.490002
10/19/2010,40.400002,41.360001,40.380001,40.939999
10/20/2010,40.93,41.490002,40.900002,41.099998
10/21/2010,40.880001,41.209999,40.450001,40.650002
10/22/2010,40.57,40.990002,40.220001,40.5
10/25/2010,40.610001,40.700001,40.209999,40.209999
10/26/2010,40.389999,40.77,40.209999,40.650002
10/27/2010,40.169998,40.259998,39.580002,40.099998
10/28/2010,40.650002,41.349998,40.209999,40.599998
10/29/2010,40.560001,41,40.450001,40.799999
11/1/2010,40.990002,41.18,40.610001,40.77
11/2/2010,41.279999,41.68,41.16,41.419998
11/3/2010,42.610001,42.73,41.900002,42.369999
11/4/2010,43.169998,43.950001,42.970001,43.91
11/5/2010,43.560001,43.98,43.34,43.790001
11/8/2010,43.16,43.349998,42.900002,43.23
11/9/2010,44.200001,44.369999,42.880001,43
11/10/2010,43.240002,43.549999,42.689999,43.529999
11/11/2010,43.290001,43.810001,43.259998,43.68
11/12/2010,43.349998,43.650002,42.82,42.990002
11/15/2010,43.599998,43.639999,43.009998,43.040001
11/16/2010,42.490002,42.5,41.32,41.779999
11/17/2010,41.400002,41.900002,41.349998,41.599998
11/18/2010,42.139999,42.380001,41.98,42.209999
11/19/2010,41.669998,42.029999,41.32,42.029999
11/22/2010,41.450001,41.790001,41.009998,41.639999
11/23/2010,41.240002,41.310001,40.700001,40.889999
11/24/2010,41.200001,41.66,41.139999,41.470001
11/26/2010,40.950001,41.240002,40.799999,40.93
11/29/2010,40.360001,40.669998,40,40.59
11/30/2010,39.779999,40.310001,39.759998,40
12/1/2010,40.549999,40.73,40.150002,40.619999
12/2/2010,40.779999,41.419998,40.77,41.32
12/3/2010,41.459999,41.630001,41.040001,41.490002
12/6/2010,42.080002,42.919998,42.049999,42.810001
12/7/2010,43.389999,43.5,42.849998,42.889999
12/8/2010,43.59,43.610001,42.869999,43.27
12/9/2010,43.16,43.34,42.57,42.790001
12/10/2010,42.91,43.349998,42.889999,43.240002
12/13/2010,43.48,43.799999,43.41,43.43
12/14/2010,44.830002,44.830002,44.060001,44.439999
12/15/2010,44.400002,44.740002,43.290001,43.860001
12/16/2010,43.889999,44.02,43.59,43.75
12/17/2010,43.580002,43.759998,43.16,43.25
12/20/2010,43.75,43.75,43.200001,43.68
12/21/2010,43.77,43.880001,43.509998,43.540001
12/22/2010,43.43,43.709999,43.200001,43.610001
12/23/2010,43.900002,44.110001,43.880001,44
12/27/2010,43.98,44,43.630001,43.970001
12/28/2010,44.009998,44.200001,43.990002,44.110001
12/29/2010,43.709999,44.099998,43.700001,43.950001
12/30/2010,43.75,44.080002,43.43,43.889999
12/31/2010,43.869999,44.330002,43.720001,44.169998
